province,cummulative_case,Active,Recovered,Death
Da Nang,395,0,361,31
Ha Noi,165,2,163,0
Quang Nam,102,1,98,3
TP. Ho Chi Minh,77,0,77,0
Ba Ria - Vung Tau,47,3,44,0
Bac Lieu,45,18,27,0
Thai Binh,31,0,31,0
Hai Duong,27,1,26,0
Ninh Binh,23,0,23,0
Vinh Phuc,19,0,19,0
Khanh Hoa,18,3,15,0
Thanh Hoa,18,0,18,0
Quang Ninh,11,0,11,0
Bac Giang,9,0,9,0
Binh Thuan,9,0,9,0
Nam Dinh,8,1,7,0
Can Tho,7,2,5,0
Quang Tri,7,0,6,1
Tay Ninh,7,0,7,0
Binh Duong,6,5,1,0
Dong Thap,6,0,6,0
Hoa Binh,6,0,6,0
Quang Ngai,6,0,6,0
Ha Nam,5,0,5,0
Hung Yen,5,1,4,0
Tra Vinh,5,0,5,0
Ha Tinh,4,0,4,0
Lang Son,4,0,4,0
Dak Lak,3,0,3,0
Dong Nai,3,0,3,0
Hai Phong,3,0,3,0
Phu Tho,3,0,3,0
Phu Yen,3,1,2,0
Lao Cai,2,0,2,0
Ninh Thuan,2,0,2,0
Thua Thien - Hue,2,0,2,0
Bac Ninh,1,0,1,0
Ben Tre,1,0,1,0
Ca Mau,1,0,1,0
Ha Giang,1,0,1,0
Kien Giang,1,0,1,0
Lai Chau,1,0,1,0
Thai Nguyen,1,0,1,0
